 Vardas               Pavarde           ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      Egz       
Vardas39             Pavarde39          10        8         2         9         1         6         4         3         6         9         1         
Vardas40             Pavarde40          9         3         10        4         4         2         7         2         10        7         6         
Vardas41             Pavarde41          10        7         8         1         9         10        1         1         9         1         6         
Vardas42             Pavarde42          6         3         8         9         1         6         10        8         10        6         3         
Vardas43             Pavarde43          9         5         1         10        2         4         9         10        7         10        6         
Vardas44             Pavarde44          4         8         7         9         5         6         4         2         1         5         2         
Vardas45             Pavarde45          4         10        6         6         10        7         6         4         10        5         8         
Vardas46             Pavarde46          7         7         3         2         8         2         2         3         1         9         7         
Vardas47             Pavarde47          1         9         5         2         2         3         9         2         5         8         1         
Vardas48             Pavarde48          7         4         6         1         3         4         3         7         1         3         6         
Vardas49             Pavarde49          6         8         10        7         6         3         3         7         7         6         5         
Vardas50             Pavarde50          6         6         3         3         5         5         5         8         9         6         8         
Vardas51             Pavarde51          9         4         2         6         6         4         10        1         1         9         7         
Vardas52             Pavarde52          2         1         6         7         2         2         1         5         8         10        9         
Vardas53             Pavarde53          6         5         10        10        7         10        9         6         2         2         7         
Vardas54             Pavarde54          8         2         8         5         4         9         10        4         1         10        1         
Vardas55             Pavarde55          8         7         4         2         8         6         6         8         8         1         4         
Vardas56             Pavarde56          6         3         1         3         2         2         10        7         1         1         10        
Vardas57             Pavarde57          10        9         1         3         2         1         2         4         2         5         6         
Vardas58             Pavarde58          4         2         7         7         3         9         7         5         3         2         7         
Vardas59             Pavarde59          1         3         3         2         10        2         1         5         2         9         6         
Vardas60             Pavarde60          3         9         3         1         2         1         7         1         6         6         5         
Vardas61             Pavarde61          8         3         9         7         10        3         3         9         6         5         4         
Vardas62             Pavarde62          2         4         1         3         1         3         10        10        7         2         2         
Vardas63             Pavarde63          3         10        1         8         1         4         1         1         1         4         9         
Vardas64             Pavarde64          3         2         6         10        5         2         6         2         4         5         6         
Vardas65             Pavarde65          1         5         4         4         8         1         3         8         6         9         10        
Vardas66             Pavarde66          3         7         10        3         2         1         10        2         2         3         8         
Vardas67             Pavarde67          10        9         10        2         9         2         10        6         2         7         5         
Vardas68             Pavarde68          7         5         9         7         7         1         5         8         4         2         1         
Vardas69             Pavarde69          7         10        5         9         1         2         9         5         10        2         10        
Vardas70             Pavarde70          7         3         8         7         9         7         4         9         2         3         6         
Vardas71             Pavarde71          1         5         2         1         9         9         6         4         3         5         7         
Vardas72             Pavarde72          8         9         3         4         9         1         1         4         10        1         10        
Vardas73             Pavarde73          4         5         2         9         6         6         7         5         5         9         6         
Vardas74             Pavarde74          3         3         6         3         7         1         10        10        2         8         4         
Vardas75             Pavarde75          7         9         3         6         9         10        7         8         6         8         1         
Vardas76             Pavarde76          8         5         6         10        4         3         7         4         3         4         6         
Vardas77             Pavarde77          1         6         2         4         2         5         5         10        9         4         3         
Vardas78             Pavarde78          9         8         8         9         5         6         4         6         8         10        9         
Vardas79             Pavarde79          4         7         2         8         7         3         9         2         6         7         5         
Vardas80             Pavarde80          3         6         3         7         8         6         2         2         9         1         5         
Vardas81             Pavarde81          3         2         5         9         7         8         7         3         3         2         7         
Vardas82             Pavarde82          3         1         8         1         3         5         4         8         3         8         3         
Vardas83             Pavarde83          2         6         4         6         1         2         5         3         8         10        4         
Vardas84             Pavarde84          1         1         3         6         10        10        9         9         10        9         8         
Vardas85             Pavarde85          1         2         10        10        10        6         4         5         10        5         1         
Vardas86             Pavarde86          2         5         10        6         3         7         7         2         1         5         3         
Vardas87             Pavarde87          7         4         4         5         5         8         3         7         10        7         3         
Vardas88             Pavarde88          1         10        8         7         9         8         1         1         6         9         5         
Vardas89             Pavarde89          7         7         9         2         3         7         7         10        6         1         6         
Vardas90             Pavarde90          8         8         4         4         4         9         7         8         2         5         5         
Vardas91             Pavarde91          9         7         8         8         3         7         4         8         3         4         4         
Vardas92             Pavarde92          2         3         9         7         3         5         7         9         4         3         1         
Vardas93             Pavarde93          2         2         7         7         7         4         9         9         4         10        10        
Vardas94             Pavarde94          5         2         3         9         9         9         4         3         8         5         9         
Vardas95             Pavarde95          10        3         1         1         9         6         7         3         6         2         4         
Vardas96             Pavarde96          7         2         9         8         8         6         9         9         8         9         9         
Vardas97             Pavarde97          3         10        6         2         3         2         5         4         2         6         1         
Vardas98             Pavarde98          7         6         1         3         9         8         2         1         4         6         10        
Vardas99             Pavarde99          6         2         3         6         2         6         4         1         10        8         5         
Vardas100            Pavarde100         3         5         3         1         5         6         5         9         1         8         5         
Vardas101            Pavarde101         5         3         4         4         6         9         4         10        1         2         8         
Vardas102            Pavarde102         7         9         8         5         9         4         8         7         2         7         1         
Vardas103            Pavarde103         5         3         5         4         5         10        2         9         5         8         4         
Vardas104            Pavarde104         10        5         8         6         6         2         10        7         8         3         4         
Vardas105            Pavarde105         4         7         10        7         6         10        7         1         5         9         8         
Vardas106            Pavarde106         6         5         2         7         2         1         5         9         9         6         10        
Vardas107            Pavarde107         10        5         4         6         9         5         6         10        6         10        8         
Vardas108            Pavarde108         6         8         7         8         7         6         4         9         10        9         4         
Vardas109            Pavarde109         7         2         6         2         9         10        7         1         10        2         7         
Vardas110            Pavarde110         2         10        5         7         10        3         7         7         4         9         2         
Vardas111            Pavarde111         4         1         2         7         9         3         1         3         10        2         6         
Vardas112            Pavarde112         10        7         1         6         7         2         2         7         6         5         10        
Vardas113            Pavarde113         9         2         1         9         8         4         8         2         4         9         10        
Vardas114            Pavarde114         8         10        3         8         5         9         3         10        4         3         7         
Vardas115            Pavarde115         2         2         4         3         3         4         10        2         7         10        6         
Vardas116            Pavarde116         5         6         4         4         1         5         4         8         6         3         2         
Vardas117            Pavarde117         7         10        6         9         4         2         3         9         7         1         1         
Vardas118            Pavarde118         1         3         7         2         1         6         3         5         1         7         1         
Vardas119            Pavarde119         7         6         7         5         10        9         6         3         5         7         3         
Vardas120            Pavarde120         4         2         10        3         1         3         7         5         5         8         9         
Vardas121            Pavarde121         9         7         7         9         4         9         1         2         2         7         5         
Vardas122            Pavarde122         9         1         7         5         5         4         6         4         7         6         10        
Vardas123            Pavarde123         3         6         2         5         4         4         8         6         4         6         8         
Vardas124            Pavarde124         9         2         6         2         6         8         9         1         7         7         4         
Vardas125            Pavarde125         1         4         8         5         6         4         4         1         6         7         10        
Vardas126            Pavarde126         9         10        4         5         6         7         8         2         5         2         10        
Vardas127            Pavarde127         7         2         6         5         10        2         9         3         10        1         1         
Vardas128            Pavarde128         5         9         1         4         2         7         4         3         8         6         3         
Vardas129            Pavarde129         3         10        7         9         8         5         4         1         9         9         8         
Vardas130            Pavarde130         3         1         4         6         5         9         7         10        4         5         10        
Vardas131            Pavarde131         4         1         3         3         1         1         6         5         3         2         10        
Vardas132            Pavarde132         1         5         9         9         3         2         5         1         8         9         1         
Vardas133            Pavarde133         4         3         5         2         1         9         1         10        3         1         10        
Vardas134            Pavarde134         4         8         7         6         8         9         2         2         5         3         9         
Vardas135            Pavarde135         3         1         2         8         10        3         3         5         8         5         5         
Vardas136            Pavarde136         3         2         3         5         7         4         8         5         2         9         1         
Vardas137            Pavarde137         7         8         7         5         7         3         8         2         6         10        5         
Vardas138            Pavarde138         3         2         5         6         7         8         6         7         3         7         10        
Vardas139            Pavarde139         5         4         3         3         10        2         7         10        8         1         5         
Vardas140            Pavarde140         10        2         6         2         9         7         6         10        7         10        7         
Vardas141            Pavarde141         1         1         7         5         1         3         3         7         6         7         3         
Vardas142            Pavarde142         3         3         1         6         1         4         6         4         9         9         4         
Vardas143            Pavarde143         2         4         6         7         9         9         2         10        8         1         6         
Vardas144            Pavarde144         7         2         10        9         8         4         10        7         5         10        9         
Vardas145            Pavarde145         3         7         9         10        9         9         1         8         10        9         1         
Vardas146            Pavarde146         1         6         7         10        3         6         3         5         7         3         2         
Vardas147            Pavarde147         5         7         9         3         2         8         6         8         2         9         8         
Vardas148            Pavarde148         8         3         7         3         4         6         2         2         2         4         1         
Vardas149            Pavarde149         7         6         10        4         4         5         8         6         7         4         6         
Vardas150            Pavarde150         1         4         4         10        10        7         10        5         5         6         4         
Vardas151            Pavarde151         4         4         2         9         3         8         9         1         1         9         7         
Vardas152            Pavarde152         7         1         3         1         3         6         8         6         8         9         10        
Vardas153            Pavarde153         6         4         10        8         1         1         4         7         6         9         10        
Vardas154            Pavarde154         5         8         5         6         2         8         1         8         5         6         10        
Vardas155            Pavarde155         9         10        3         1         9         1         2         9         3         5         8         
Vardas156            Pavarde156         2         4         5         6         9         8         8         1         4         9         6         
Vardas157            Pavarde157         9         6         5         3         9         4         8         5         2         8         3         
Vardas158            Pavarde158         10        5         7         6         2         6         9         3         6         7         3         
Vardas159            Pavarde159         1         3         3         5         9         6         9         1         6         4         3         
Vardas160            Pavarde160         4         10        4         7         3         1         2         8         2         1         9         
Vardas161            Pavarde161         10        1         6         4         2         5         10        4         6         2         10        
Vardas162            Pavarde162         6         8         9         9         4         2         4         10        4         2         5         
Vardas163            Pavarde163         6         6         6         2         3         4         6         3         4         8         10        
Vardas164            Pavarde164         6         5         4         4         10        3         7         3         4         2         6         
Vardas165            Pavarde165         6         3         9         2         5         3         8         1         1         5         10        
Vardas166            Pavarde166         9         2         4         7         1         1         3         1         6         10        10        
Vardas167            Pavarde167         3         3         10        10        9         1         2         1         8         4         2         
Vardas168            Pavarde168         10        6         6         2         8         6         2         3         7         8         1         
Vardas169            Pavarde169         4         10        6         5         1         3         4         10        1         10        9         
Vardas170            Pavarde170         2         5         2         4         4         6         8         10        1         2         6         
Vardas171            Pavarde171         2         6         5         2         3         10        7         4         4         5         1         
Vardas172            Pavarde172         3         10        10        9         7         7         8         6         8         1         7         
Vardas173            Pavarde173         1         2         6         9         1         4         7         10        4         6         3         
Vardas174            Pavarde174         2         4         8         3         4         8         7         5         6         3         4         
Vardas175            Pavarde175         2         4         3         8         6         6         9         6         7         3         8         
Vardas176            Pavarde176         2         9         6         8         6         3         7         1         3         7         8         
Vardas177            Pavarde177         2         10        10        6         7         7         10        2         8         5         6         
Vardas178            Pavarde178         7         8         8         1         2         5         4         2         10        4         9         
Vardas179            Pavarde179         3         8         5         9         9         4         4         9         4         6         1         
Vardas180            Pavarde180         10        7         8         3         4         1         3         7         2         8         10        
Vardas181            Pavarde181         6         7         2         8         6         2         6         2         2         5         3         
Vardas182            Pavarde182         8         9         4         3         1         4         3         9         10        5         4         
Vardas183            Pavarde183         7         8         1         8         9         3         3         10        5         2         4         
Vardas184            Pavarde184         7         1         7         3         2         2         6         6         4         3         8         
Vardas185            Pavarde185         6         4         9         2         4         2         3         9         9         8         2         
Vardas186            Pavarde186         3         1         3         9         9         9         3         5         1         2         10        
Vardas187            Pavarde187         10        1         8         9         7         5         8         8         8         5         7         
Vardas188            Pavarde188         5         1         3         3         10        3         4         6         8         6         6         
Vardas189            Pavarde189         10        2         8         5         3         6         5         3         5         3         9         
Vardas190            Pavarde190         6         2         8         1         7         10        10        3         10        6         4         
Vardas191            Pavarde191         2         9         4         4         8         5         4         9         10        4         2         
Vardas192            Pavarde192         7         7         8         9         6         6         6         4         2         8         3         
Vardas193            Pavarde193         9         8         8         1         9         10        2         1         6         2         8         
Vardas194            Pavarde194         4         10        9         4         2         4         2         7         7         3         3         
Vardas195            Pavarde195         9         9         4         2         7         3         9         1         3         9         6         
Vardas196            Pavarde196         7         7         9         10        4         10        5         2         5         4         3         
Vardas197            Pavarde197         2         3         4         2         6         2         10        6         2         3         6         
Vardas198            Pavarde198         6         1         3         4         7         8         6         7         9         5         9         
Vardas199            Pavarde199         8         5         1         9         5         9         7         1         6         6         3         
Vardas200            Pavarde200         7         8         5         7         7         3         7         3         4         7         1         
Vardas201            Pavarde201         6         2         5         1         8         1         8         5         2         2         8         
Vardas202            Pavarde202         2         5         5         3         9         2         5         8         3         4         2         
Vardas203            Pavarde203         7         6         3         2         7         6         1         6         9         1         3         
Vardas204            Pavarde204         9         5         3         6         10        3         5         8         7         6         3         
Vardas205            Pavarde205         7         5         2         5         3         2         3         4         10        6         10        
Vardas206            Pavarde206         4         1         7         4         1         2         6         10        1         3         2         
Vardas207            Pavarde207         2         7         10        1         6         3         8         3         8         10        10        
Vardas208            Pavarde208         10        2         4         6         8         2         1         10        10        7         8         
Vardas209            Pavarde209         7         4         6         6         8         2         10        3         6         1         5         
Vardas210            Pavarde210         9         2         9         9         7         6         7         10        8         6         7         
Vardas211            Pavarde211         6         4         3         6         8         7         2         1         5         4         10        
Vardas212            Pavarde212         3         7         6         8         9         7         6         9         9         1         9         
Vardas213            Pavarde213         10        4         9         8         8         5         5         4         1         7         3         
Vardas214            Pavarde214         10        9         5         10        4         4         4         6         1         9         4         
Vardas215            Pavarde215         1         3         2         4         5         5         9         9         1         4         5         
Vardas216            Pavarde216         2         1         6         1         5         7         3         2         2         1         8         
Vardas217            Pavarde217         6         6         7         5         4         7         1         1         10        9         4         
Vardas218            Pavarde218         2         5         1         7         8         1         6         4         4         7         4         
Vardas219            Pavarde219         9         6         1         4         2         2         9         8         9         4         10        
Vardas220            Pavarde220         7         10        9         10        6         3         5         2         8         7         9         
Vardas221            Pavarde221         3         6         10        5         7         5         3         9         2         4         1         
Vardas222            Pavarde222         3         8         9         10        2         9         4         4         7         7         6         
Vardas223            Pavarde223         8         1         1         1         6         3         9         4         10        9         7         
Vardas224            Pavarde224         6         9         10        9         8         5         10        10        3         4         2         
Vardas225            Pavarde225         7         3         3         6         5         1         10        3         3         5         2         
Vardas226            Pavarde226         5         7         3         5         4         3         8         10        1         5         9         
Vardas227            Pavarde227         7         1         5         3         3         3         8         2         3         9         5         
Vardas228            Pavarde228         3         4         10        1         5         10        5         7         9         7         5         
Vardas229            Pavarde229         3         7         10        6         6         4         4         8         3         5         5         
Vardas230            Pavarde230         2         1         6         10        8         2         9         3         5         10        5         
Vardas231            Pavarde231         6         2         5         3         2         7         6         9         9         3         4         
Vardas232            Pavarde232         6         5         6         7         9         3         10        10        2         9         6         
Vardas233            Pavarde233         1         2         3         3         9         1         9         4         10        7         4         
Vardas234            Pavarde234         1         8         7         2         8         9         3         6         4         8         1         
Vardas235            Pavarde235         6         5         4         1         5         2         8         1         3         7         1         
Vardas236            Pavarde236         3         7         10        8         10        6         5         7         3         10        9         
Vardas237            Pavarde237         7         3         3         3         6         6         5         9         6         1         4         
Vardas238            Pavarde238         4         5         8         6         10        6         9         8         3         2         9         
Vardas239            Pavarde239         4         1         6         7         1         2         1         2         8         8         6         
Vardas240            Pavarde240         3         6         4         10        2         7         3         7         8         5         1         
Vardas241            Pavarde241         9         8         10        3         4         9         3         5         7         8         3         
Vardas242            Pavarde242         5         10        8         6         3         9         10        4         5         9         6         
Vardas243            Pavarde243         4         9         8         6         4         2         1         5         8         10        9         
Vardas244            Pavarde244         5         6         5         7         8         1         6         3         9         9         2         
Vardas245            Pavarde245         2         6         3         2         6         8         9         7         1         1         7         
Vardas246            Pavarde246         7         7         7         6         1         8         6         4         6         9         1         
Vardas247            Pavarde247         9         4         4         5         9         1         2         1         1         3         2         
Vardas248            Pavarde248         8         8         8         8         3         9         4         1         6         1         1         
Vardas249            Pavarde249         1         1         6         8         1         9         6         9         9         7         1         
Vardas250            Pavarde250         6         6         1         1         5         2         2         5         4         4         5         
Vardas251            Pavarde251         8         2         10        8         5         7         2         5         10        7         8         
Vardas252            Pavarde252         5         6         9         6         9         10        3         10        4         6         6         
Vardas253            Pavarde253         7         5         8         8         3         1         6         8         6         2         7         
Vardas254            Pavarde254         2         5         5         1         4         4         9         8         10        2         7         
Vardas255            Pavarde255         6         7         9         9         2         10        4         2         4         4         7         
Vardas256            Pavarde256         10        1         7         5         2         4         7         1         10        10        3         
Vardas257            Pavarde257         1         5         8         9         6         4         5         9         4         6         7         
Vardas258            Pavarde258         10        4         6         3         4         8         4         5         7         8         6         
Vardas259            Pavarde259         8         6         8         2         4         6         6         7         8         7         3         
Vardas260            Pavarde260         6         5         6         5         10        3         3         2         2         2         2         
Vardas261            Pavarde261         1         1         9         4         3         9         6         1         1         4         2         
Vardas262            Pavarde262         5         8         8         2         7         1         1         7         10        6         5         
Vardas263            Pavarde263         1         4         6         5         4         9         1         10        6         9         7         
Vardas264            Pavarde264         9         1         7         7         10        3         9         2         2         1         10        
Vardas265            Pavarde265         4         2         1         4         5         3         1         9         4         1         4         
Vardas266            Pavarde266         7         5         10        7         9         9         1         9         6         9         8         
Vardas267            Pavarde267         6         4         6         6         2         9         7         1         2         2         4         
Vardas268            Pavarde268         3         9         10        7         2         10        10        9         4         4         6         
Vardas269            Pavarde269         5         4         9         1         1         9         6         2         1         5         8         
Vardas270            Pavarde270         10        7         8         1         2         4         4         4         2         2         4         
Vardas271            Pavarde271         8         7         8         3         3         6         8         9         10        7         4         
Vardas272            Pavarde272         8         7         6         1         4         1         9         6         4         1         6         
Vardas273            Pavarde273         5         5         8         8         8         5         5         1         9         1         7         
Vardas274            Pavarde274         6         5         8         5         2         5         1         4         8         4         5         
Vardas275            Pavarde275         8         7         8         9         7         4         3         3         7         4         4         
Vardas276            Pavarde276         8         10        1         1         1         8         8         7         1         8         4         
Vardas277            Pavarde277         7         4         9         10        6         10        4         3         7         5         1         
Vardas278            Pavarde278         10        1         3         10        2         3         1         1         1         6         5         
Vardas279            Pavarde279         7         10        8         9         7         3         4         9         1         3         5         
Vardas280            Pavarde280         1         3         7         1         4         1         4         5         8         8         1         
Vardas281            Pavarde281         3         2         6         2         3         2         3         1         2         2         2         
Vardas282            Pavarde282         4         8         7         5         7         5         10        10        5         4         3         
Vardas283            Pavarde283         2         6         5         10        7         9         6         4         6         8         9         
Vardas284            Pavarde284         8         7         5         4         1         3         9         7         5         2         4         
Vardas285            Pavarde285         4         5         3         5         7         3         2         8         10        10        8         
Vardas286            Pavarde286         6         2         4         4         4         3         5         4         7         3         10        
Vardas287            Pavarde287         8         8         9         10        5         5         7         8         3         7         1         
Vardas288            Pavarde288         5         2         2         1         1         9         2         5         5         5         3         
Vardas289            Pavarde289         5         3         9         8         10        10        10        2         7         9         3         
Vardas290            Pavarde290         4         2         5         7         4         3         7         4         10        1         9         
Vardas291            Pavarde291         8         8         1         10        5         4         10        9         10        9         2         
Vardas292            Pavarde292         5         4         2         4         6         5         1         10        1         2         2         
Vardas293            Pavarde293         1         10        7         10        9         6         7         4         4         6         4         
Vardas294            Pavarde294         8         5         9         8         10        9         4         10        8         4         3         
Vardas295            Pavarde295         3         10        5         6         9         4         8         5         5         6         2         
Vardas296            Pavarde296         7         10        6         10        1         4         2         2         10        5         1         
Vardas297            Pavarde297         7         4         9         7         1         3         1         8         10        10        9         
Vardas298            Pavarde298         10        8         2         2         4         8         6         1         9         10        1         
Vardas299            Pavarde299         4         1         6         10        2         7         10        7         6         7         10        
Vardas300            Pavarde300         6         2         9         10        10        8         2         10        9         3         6         
Vardas301            Pavarde301         5         8         10        4         3         2         5         10        1         1         10        
Vardas302            Pavarde302         4         5         6         6         8         4         8         7         10        7         8         
Vardas303            Pavarde303         8         4         9         6         8         9         3         9         6         1         9         
Vardas304            Pavarde304         6         1         9         3         5         1         1         6         1         7         1         
Vardas305            Pavarde305         3         4         4         4         9         1         6         2         3         7         2         
Vardas306            Pavarde306         5         9         2         6         9         7         10        7         8         7         7         
Vardas307            Pavarde307         3         5         9         1         9         9         4         2         7         8         7         
Vardas308            Pavarde308         5         1         4         9         5         2         7         10        5         4         2         
Vardas309            Pavarde309         7         3         1         1         5         5         9         6         3         3         2         
Vardas310            Pavarde310         7         3         1         1         8         2         9         9         10        5         9         
Vardas311            Pavarde311         6         3         8         3         8         2         5         5         4         1         1         
Vardas312            Pavarde312         3         2         3         4         5         10        9         2         4         10        1         
Vardas313            Pavarde313         8         1         1         5         2         6         6         3         6         4         7         
Vardas314            Pavarde314         3         3         10        2         5         8         3         2         2         7         9         
Vardas315            Pavarde315         7         6         8         2         1         5         8         3         1         3         8         
Vardas316            Pavarde316         4         7         1         9         3         8         4         2         10        9         3         
Vardas317            Pavarde317         6         6         10        7         4         9         9         10        3         9         7         
Vardas318            Pavarde318         10        6         8         1         10        6         2         4         1         4         9         
Vardas319            Pavarde319         6         10        10        2         3         1         7         8         6         7         9         
Vardas320            Pavarde320         10        9         3         5         6         7         4         5         3         10        5         
Vardas321            Pavarde321         1         9         2         7         5         7         5         5         2         2         7         
Vardas322            Pavarde322         2         10        6         9         3         4         10        9         4         5         9         
Vardas323            Pavarde323         7         8         9         3         5         2         10        6         7         4         3         
Vardas324            Pavarde324         10        1         1         8         7         9         9         2         5         9         9         
Vardas325            Pavarde325         3         5         6         1         1         7         5         5         7         1         1         
Vardas326            Pavarde326         5         5         6         4         4         4         1         5         4         10        8         
Vardas327            Pavarde327         10        8         7         6         5         1         8         9         9         6         9         
Vardas328            Pavarde328         2         7         10        5         9         10        9         7         2         5         10        
Vardas329            Pavarde329         4         8         5         6         2         1         9         3         8         6         5         
Vardas330            Pavarde330         1         7         1         8         4         7         8         6         4         9         9         
Vardas331            Pavarde331         6         8         6         9         7         1         8         2         10        9         1         
Vardas332            Pavarde332         3         7         8         8         2         5         5         7         6         7         8         
Vardas333            Pavarde333         2         10        10        5         8         9         4         8         7         10        4         
Vardas334            Pavarde334         2         9         7         3         9         7         9         5         8         8         5         
Vardas335            Pavarde335         9         6         6         1         9         1         3         1         3         7         6         
Vardas336            Pavarde336         9         5         7         3         9         5         8         3         9         7         1         
Vardas337            Pavarde337         5         5         10        10        10        10        9         8         7         10        9         
Vardas338            Pavarde338         6         10        10        8         7         4         1         6         10        10        1         
Vardas339            Pavarde339         3         2         1         1         3         3         2         8         3         3         3         
Vardas340            Pavarde340         3         1         3         3         10        4         1         7         4         7         3         
Vardas341            Pavarde341         2         9         1         9         10        9         4         3         5         10        10        
Vardas342            Pavarde342         8         6         3         9         2         9         10        10        10        6         5         
Vardas343            Pavarde343         6         2         2         10        8         7         2         9         7         5         9         
Vardas344            Pavarde344         5         3         3         2         8         7         2         6         1         10        8         
Vardas345            Pavarde345         5         10        8         5         6         8         8         9         7         2         5         
Vardas346            Pavarde346         3         3         7         2         6         2         7         4         1         2         4         
Vardas347            Pavarde347         5         5         3         6         4         10        7         7         3         1         1         
Vardas348            Pavarde348         10        1         6         5         8         6         6         10        8         5         8         
Vardas349            Pavarde349         3         3         7         4         4         6         8         9         7         3         8         
Vardas350            Pavarde350         9         9         2         10        3         1         1         7         6         5         1         
Vardas351            Pavarde351         2         3         3         5         2         5         6         8         9         8         6         
Vardas352            Pavarde352         8         1         1         3         5         2         3         10        8         3         9         
Vardas353            Pavarde353         3         5         7         7         6         1         4         4         1         8         3         
Vardas354            Pavarde354         9         7         4         10        5         6         6         7         6         8         6         
Vardas355            Pavarde355         10        9         3         10        3         6         1         8         4         9         3         
Vardas356            Pavarde356         9         10        7         2         7         3         10        4         10        7         7         
Vardas357            Pavarde357         9         7         1         1         4         5         3         3         2         4         8         
Vardas358            Pavarde358         9         2         6         6         10        6         2         2         7         10        5         
Vardas359            Pavarde359         10        3         10        6         3         10        3         1         9         10        4         
Vardas360            Pavarde360         1         4         3         10        2         3         3         7         5         8         1         
Vardas361            Pavarde361         5         3         6         9         6         3         2         9         7         7         2         
Vardas362            Pavarde362         2         1         3         8         10        8         8         4         4         6         2         
Vardas363            Pavarde363         4         6         10        3         6         6         7         2         3         10        5         
Vardas364            Pavarde364         6         3         10        1         4         4         6         8         1         6         7         
Vardas365            Pavarde365         8         2         3         6         2         8         8         2         6         3         6         
Vardas366            Pavarde366         7         7         1         2         2         9         4         9         7         6         9         
Vardas367            Pavarde367         4         3         10        4         9         9         5         2         7         8         9         
Vardas368            Pavarde368         4         10        6         1         1         2         4         9         9         4         8         
Vardas369            Pavarde369         4         6         6         6         5         3         2         8         3         5         2         
Vardas370            Pavarde370         3         5         9         9         9         6         2         7         8         1         5         
Vardas371            Pavarde371         1         1         10        8         10        5         6         1         10        6         7         
Vardas372            Pavarde372         7         6         3         6         6         4         10        4         4         1         6         
Vardas373            Pavarde373         4         2         6         1         6         7         1         8         2         4         6         
Vardas374            Pavarde374         3         4         10        8         6         4         10        3         4         6         10        
Vardas375            Pavarde375         8         7         9         3         9         9         1         6         9         5         10        
Vardas376            Pavarde376         9         9         4         5         10        6         7         8         4         4         1         
Vardas377            Pavarde377         8         5         2         8         1         3         2         9         6         9         2         
Vardas378            Pavarde378         8         4         8         3         5         1         9         8         5         1         5         
Vardas379            Pavarde379         8         2         8         3         3         8         1         8         10        1         4         
Vardas380            Pavarde380         1         2         4         8         2         6         5         5         5         10        4         
Vardas381            Pavarde381         1         1         4         4         5         9         8         4         3         9         4         
Vardas382            Pavarde382         5         9         4         10        5         2         2         5         8         2         8         
Vardas383            Pavarde383         7         4         3         8         1         2         7         4         3         2         1         
Vardas384            Pavarde384         8         5         10        5         10        9         4         5         7         5         6         
Vardas385            Pavarde385         1         3         9         2         10        6         4         10        10        10        7         
